SiteNumber,IslandCode,IslandName,SiteCode,SiteName,ReserveStatus,Latitude,Longitude,MeanDepth,Color,LineType,Color2,ARMs,Bath,Reference,Color3
1,SM,San Miguel Island,WL,Wyckoff Ledge,Outside,34.02236667,-120.3874667,43.27,red2,solid,slateblue4,FALSE,FALSE,FALSE,NA
2,SM,San Miguel Island,HR,Hare Rock,Inside,34.06438333,-120.3566,20.5,blue2,dashed,darkorchid1,FALSE,FALSE,FALSE,NA
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,Outside,33.90146667,-120.1029667,33.18,red2,solid,deepskyblue,TRUE,FALSE,TRUE,NA
4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,Outside,33.89753333,-120.10075,46.72,blue2,solid,deepskyblue4,TRUE,FALSE,TRUE,NA
5,SR,Santa Rosa Island,RR,Rodes Reef,Outside,34.03261667,-120.107,44.77,green3,solid,blue,FALSE,FALSE,FALSE,NA
6,SC,Santa Cruz Island,GI,Gull Island South,Inside,33.94966667,-119.8275833,52,red2,dashed,chartreuse,TRUE,FALSE,FALSE,NA
7,SC,Santa Cruz Island,FH,Fry's Harbor,Outside,34.0510635,-119.75515,40.82,blue2,solid,chartreuse4,TRUE,FALSE,FALSE,NA
8,SC,Santa Cruz Island,PB,Pelican Bay,Outside,34.03488333,-119.7030833,21.33,green3,solid,darkolivegreen3,TRUE,FALSE,FALSE,NA
9,SC,Santa Cruz Island,SA,Scorpion Anchorage,Inside,34.04798333,-119.5514,15.45,deepskyblue2,dashed,darkgreen,TRUE,TRUE,TRUE,NA
10,SC,Santa Cruz Island,YB,Yellow Banks,Outside,33.98983333,-119.5630667,50.67,yellow2,solid,forestgreen,TRUE,FALSE,FALSE,NA
11,AN,Anacapa Island,AR,Admiral's Reef,Outside,34.00775,-119.4343833,44.36,red2,solid,gold,TRUE,TRUE,TRUE,NA
12,AN,Anacapa Island,CC,Cathedral Cove,Inside,34.01586667,-119.3717333,26.45,blue2,dashed,gold3,TRUE,TRUE,TRUE,NA
13,AN,Anacapa Island,LC,Landing Cove,Inside,34.01703333,-119.3611333,24.25,green3,dashed,yellow,TRUE,TRUE,TRUE,NA
14,SB,Santa Barbara Island,SESL,SE Sea Lion Rookery,Inside,33.46611667,-119.0277833,43.09,red2,dashed,darkred,FALSE,FALSE,TRUE,NA
15,SB,Santa Barbara Island,AP,Arch Point,Outside,33.48753333,-119.0275833,24.82,blue2,solid,firebrick1,FALSE,FALSE,TRUE,NA
16,SB,Santa Barbara Island,CAT,Cat Canyon,Outside,33.46441667,-119.0391667,25.91,green3,solid,violetred,FALSE,FALSE,TRUE,NA
21,SM,San Miguel Island,MM,Miracle Mile,Outside,34.0237,-120.3951333,27.55,green3,solid,darkmagenta,TRUE,FALSE,FALSE,NA
22,SR,Santa Rosa Island,CP,Cluster Point,Outside,33.92303333,-120.1873667,45.33,deepskyblue2,solid,turquoise1,FALSE,FALSE,TRUE,NA
23,SR,Santa Rosa Island,TC,Trancion Canyon,Inside,33.90855,-120.1555333,42.18,yellow2,dashed,turquoise4,FALSE,FALSE,TRUE,NA
24,SR,Santa Rosa Island,CSAW,Chickasaw,Inside,33.90036667,-120.1356667,36.6,darkgreen,dashed,steelblue1,FALSE,FALSE,TRUE,NA
25,SR,Santa Rosa Island,SP,South Point,Inside,33.89233333,-120.1195,41.09,darkorange3,dashed,steelblue4,FALSE,FALSE,TRUE,NA
26,SC,Santa Cruz Island,DPM,Devil's Peak Member,Outside,34.04488333,-119.6012667,38.45,darkgreen,solid,lightgreen,FALSE,TRUE,TRUE,NA
27,SC,Santa Cruz Island,PP,Potato Pasture,Inside,34.05216667,-119.5821167,37,darkorange3,dashed,limegreen,FALSE,TRUE,TRUE,NA
28,SC,Santa Cruz Island,CVP,Cavern Point,Inside,34.05428333,-119.5668667,40,darkseagreen4,dashed,palegreen4,FALSE,TRUE,TRUE,NA
29,SC,Santa Cruz Island,LS,Little Scorpion,Outside,34.04415,-119.54245,37.82,darkslategrey,solid,seagreen3,FALSE,TRUE,TRUE,NA
30,SC,Santa Cruz Island,PRF,Pedro Reef,Outside,34.03836667,-119.5253,29.73,black,solid,green,FALSE,TRUE,TRUE,NA
31,AN,Anacapa Island,KH,Keyhole,Inside,34.01641667,-119.4320167,29.64,deepskyblue2,dotted,yellow3,FALSE,TRUE,TRUE,NA
32,AN,Anacapa Island,EFC,East Fish Camp,Outside,34.0045,-119.3857833,38.09,yellow2,solid,palegoldenrod,FALSE,TRUE,TRUE,NA
33,AN,Anacapa Island,BSBR,Black Sea Bass Reef,Inside,34.0126,-119.3891833,53.18,darkgreen,dashed,orange,FALSE,TRUE,TRUE,NA
34,AN,Anacapa Island,LH,Lighthouse,Outside,34.0141,-119.3590167,27.91,darkorange3,solid,darkgoldenrod2,FALSE,TRUE,TRUE,NA
35,SB,Santa Barbara Island,WA,Webster's Arch,Outside,33.47985,-119.0622,48.18,deepskyblue2,solid,red,FALSE,FALSE,TRUE,NA
36,SB,Santa Barbara Island,GC,Graveyard Canyon,Inside,33.47306667,-119.0268167,38.14,yellow2,dashed,deeppink,FALSE,FALSE,TRUE,NA
37,SB,Santa Barbara Island,SER,Southeast Reef,Inside,33.46293333,-119.0312667,38.73,darkgreen,dashed,deeppink4,TRUE,FALSE,TRUE,NA
